Variable,Count,Mean,Std,Min,Q1,Median,Q3,Max
time,200.0,9.99999999195,5.817003411287227,0.0,4.999999875,10.0,15.0,20.0
ATP,200.0,0.38324316459999996,0.22606202887118443,0.13773094,0.20656826,0.301912125,0.5071750575,0.9942708
NADH,200.0,0.7033796409999999,0.16244073956773236,0.40692514,0.558093725,0.7023823,0.8392436999999999,1.0141952
ROS,200.0,0.12208844087,0.02779304283494011,0.03053021,0.1048147345,0.12237413,0.14104279749999998,0.18424717
dG_dt,200.0,-0.29989816533999997,0.6404325248913997,-1.1958551,-0.8074886875,-0.575953485,0.23673820750000002,1.2911034
dR_dt,200.0,0.7891643237,0.2595860305949433,0.25645447,0.6100854874999999,0.75281,0.973319075,1.4675636
dP_dt,200.0,0.10312113083905,0.15537883221440935,-0.34082794,0.007745266000000001,0.09616875750000001,0.2046159475,0.6230993
